Cod_Loc,IdProvincia,IdDepartamento,Observaciones,Categoría,Provincia,Departamento,Localidad,Nombre,Dirección,Piso,CP,cod_area,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,TipoLatitudLongitud,Fuente,tipo_gestion,Pantallas,Butacas,espacio_INCAA,año_actualizacion
6588100,6,6588,,Salas de cine,Buenos Aires,9 de julio,9 de julio,El Cine De La Biblioteca,Mendoza Y San Martin 991,s/d,6500,2317,457354,waltermarini@msn.com,https://www.facebook.com/bibliotecapopularjingenieros/about/,,-3.544.491.400,-6.088.791.200,Localización precisa,INCAA / SInCA,Privado comunitario,1,90,,2018
6658010,6,6658,,Salas de cine,Buenos Aires,Quilmes,Quilmes,Cine Teatro Municipalidad De Quilmes,Mitre 721,s/d,1878,s/d,42532213,incaaquilmes@gmail.com,https://www.facebook.com/INCAAQuilmes/,,-3.472.256.600,-5.825.320.100,Localización precisa,INCAA / SInCA,Público municipal,1,415,si,2018
6182030,6,6182,,Salas de cine,Buenos Aires,Coronel de Marina L. Rosales,Punta Alta,Cinema Colon,Rivadavia 459,s/d,8109,11,68643237,k.jana@cinemacolon.com.ar,http://www.cinemacolon.com.ar,,-3.888.019.600,-6.207.672.100,Localización precisa,INCAA / SInCA,Privado comercial,1,390,,2018
6595070,6,6595,,Salas de cine,Buenos Aires,Olavarria,Olavarría,Flix Olavarría,Rivadavia 4730,s/d,7400,2281,444411,flix.olavarria@gmail.com,http://olavarria.flixcinema.com.ar/,,-3.688.081.600,-6.030.440.900,Localización precisa,INCAA / SInCA,Privado comercial,2,660,,2018
6826010,6,6826,,Salas de cine,Buenos Aires,Trenque Lauquen,Beruti,Cine Club La Luisa,San Martin 455,s/d,6424,2392,491112,deñegacionberuti@yahoo.com.ar / bttinaty@yahoo.com.ar,s/d,,-3.585.261.400,-6.251.235.000,Localización precisa,INCAA / SInCA,Público municipal,1,310,,2018
6826040,6,6826,,Salas de cine,Buenos Aires,Trenque Lauquen,30 De agosto,Cine Teatro Santa Rosa De Lima,Santa Rosa De Lima 170,s/d,6405,2392,471739,comprasente30deagosto@cetl.com.ar,https://www.trenquelauquen.gov.ar/noticias/30-de-agosto-funciones-en-el-cine-santa-rosa/,,-3.627.850.800,-6.254.435.500,Localización precisa,INCAA / SInCA,Público municipal,1,410,,2018
6861010,6,6861,,Salas de cine,Buenos Aires,Vicente Lopez,Munro,Lumiton,Sargento Cabral 2354,s/d,1605,s/d,45806236,lumiton.usina@gmail.com,https://www.instagram.com/lumiton_usina/,,-3.452.791.900,-5.851.593.400,Localización precisa,INCAA / SInCA,Público municipal,1,30,,2018
6028010,6,6028,,Salas de cine,Buenos Aires,Almirante Brown,Adrogué,Cinemas Paseo Adrogué,Segui 699,s/d,1846,s/d,42140763,s/d,https://www.fandango.lat/ar/cines/cpm-cinemas-paseo-adrogue-190321-191200,,-3.480.009.700,-5.839.675.300,Localización precisa,INCAA / SInCA,Privado comercial,4,710,,2018
6840010,6,6840,,Salas de cine,Buenos Aires,Tres de Febrero,Caseros,Cine Teatro Paramount,Tres De Febrero 2561,s/d,1678,s/d,47501438,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/tema/cine-teatro-paramount/,,-3.460.539.600,-5.856.397.700,Localización precisa,INCAA / SInCA,Público municipal,2,645,SI,2018
10049030,10,10049,,Salas de cine,Catamarca,Capital,Catamarca,Cinemacenter,Av. Guemes 850,s/d,4700,3833,4423040,centercatamarca@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2.847.586.700,-6.577.458.100,Localización precisa,INCAA / SInCA,Privado comercial,5,914,,2018
22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Espacio Incaa Guido Miranda,Colón 164,s/d,3500,3624,4810748,lagomecita@hotmail.com,http://www.ecomchaco.com.ar/guidomiranda/default.htm,,-2.745.563.940,-5.898.448.010,Localización precisa,INCAA / SInCA,Público provincial,1,167,si,2018
22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter,Av. Lavalle 826,s/d,3500,3624,415999,centeravalos@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2.743.821.400,-5.898.703.800,Localización precisa,INCAA / SInCA,Privado comercial,5,792,,2018
22140060,22,22140,,Salas de cine,Chaco,San Fernando,Resistencia,Cinemacenter,Av. Dr. Sabin Y Av. Nicolas Avellaneda,s/d,3500,3722,446554,centerresistencia@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2.743.874.700,-5.898.728.500,Localización precisa,INCAA / SInCA,Privado comercial,3,690,,2018
26007020,26,26007,,Salas de cine,Chubut,Biedma,Puerto Madryn,Cine Teatro Auditorium,28 De julio 0129,s/d,9120,2804,455653,auditorium@madryn.com,http://www.cinemadryn.com/,,-4.276.625.100,-6.503.536.900,Localización precisa,INCAA / SInCA,Privado comercial,2,486,,2018
26035060,26,26035,,Salas de cine,Chubut,Futaleufu,Trevelin,Espacio INCAA Trevelin,28 De julio 0414,s/d,9203,2945,480145,culturatrevelin@gmail.com,https://cines.com/argentina/espacio-incaa-trevelin/,,-4.307.951.600,-7.146.313.500,Localización precisa,INCAA / SInCA,Público municipal,1,150,si,2018
26077040,26,26077,,Salas de cine,Chubut,Rawson,Trelew,Espacio INCAA Km 1460,9 De julio 0655,s/d,9100,280,4969388,donato.enrique@hotmail.com,https://www.facebook.com/pg/Sala-Incaa-Km-1460-Trelew-197525007014521/about/?ref=page_internal,,-4.325.346.100,-6.531.623.100,Localización precisa,INCAA / SInCA,Público municipal,1,100,si,2018
26035030,26,26035,,Salas de cine,Chubut,Futaleufu,Esquel,Auditorio Municipal De Esquel,Belgrano 330,s/d,9200,11,5081526,coordinacioncultura@yahoo.com.ar,https://www.facebook.com/CulturaEsquel/,,-4.291.433.200,-7.133.242.000,Localización precisa,INCAA / SInCA,Público municipal,1,243,,2018
26077040,26,26077,,Salas de cine,Chubut,Rawson,Trelew,Coliseo,Belgrano 375,Piso 1,9100,2804,425300,delcoliseosa@speedy.com.ar,https://www.facebook.com/Cine-Coliseo-Trelew-262482040443290/,,-4.325.278.400,-6.530.766.700,Localización precisa,INCAA / SInCA,Privado comercial,1,380,,2018
26077030,26,26077,,Salas de cine,Chubut,Rawson,Rawson,Centro Cultural José Hernández,Dr. Jorge Galina S/N,s/d,9103,2804,485564,cinerawsonchubut2014@gmail.com,https://www.facebook.com/media/set/?set=a.910604218955417.1073743674...type...,,-4.329.985.800,-6.509.948.700,Localización precisa,INCAA / SInCA,Privado comercial,1,400,si,2018
26021030,26,26021,,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Coliseo,San Martin 570,s/d,9000,297,6210242,cinecr@speedy.com.ar,https://www.cinesargentinos.com.ar/horarios/c:511:coliseo-comodoro-rivadavia-/,,-4.586.105.700,-6.748.258.100,Localización precisa,INCAA / SInCA,Privado comercial,1,380,,2018
26021030,26,26021,,Salas de cine,Chubut,Escalante,Comodoro Rivadavia,Cine Teatro Español,San Martin 668,s/d,9000,297,6245762,cinecr@speedy.com.ar,http://www.cinecr.com.ar,,-4.586.107.100,-6.748.407.200,Localización precisa,INCAA / SInCA,Privado comercial,1,463,si,2018
18021020,18,18021,,Salas de cine,Corrientes,Capital,Corrientes,Los Cines De La Costa,Av. Centenario 3535,s/d,3400,3794,472200,centenario@loscinesdelacosta.com.ar,http://shopping.loscinesdelacosta.com.ar/index.php,,-2.748.135.900,-5.876.699.800,Localización precisa,INCAA / SInCA,Privado comercial,4,562,,2018
18021020,18,18021,,Salas de cine,Corrientes,Capital,Corrientes,Cinemacenter,Av. Pedro Ferre Y Chacabuco,s/d,3400,3794,423400,centercorrientes@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2.746.464.000,-5.881.063.500,Localización precisa,INCAA / SInCA,Privado comercial,5,1140,,2018
18035020,18,18035,,Salas de cine,Corrientes,Curuzu Cuatia,Curuzu Cuatiá,Sociedad Rural,Beron De Astrada 641,s/d,3460,s/d,s/d,nuevocineteatrorex@gmail.com,http://cinedelarural.com.ar,,-2.979.047.300,-5.805.447.400,Localización precisa,INCAA / SInCA,Privado comercial,1,300,,2018
18021020,18,18021,,Salas de cine,Corrientes,Capital,Corrientes,Costanera,Carlos Pellegrini 451/311,s/d,3400,3794,472200,costanera@loscinesdelacosta.com.ar,http://www.loscinesdelacosta.com.ar/,,-2.746.475.200,-5.884.301.500,Localización precisa,INCAA / SInCA,Privado comercial,2,358,,2018
18084020,18,18084,,Salas de cine,Corrientes,Ituzaingo,Ituzaingó,Leonardo Favio,Corrientes 1715,s/d,3302,3786,404273,wilfredodavid_50@hotmail.com,https://www.facebook.com/pg/CINEITU/about/,,-2.758.568.700,-5.668.698.500,Localización precisa,INCAA / SInCA,Público municipal,1,200,si,2018
18070020,18,18070,,Salas de cine,Corrientes,Goya,Goya,Cines De La Costa,España 659,s/d,3450,3794,472200,costanera@loscinesdelacosta.com.ar,www.micartelera.com.ar/cines.asp?id=3,,-2.914.428.300,-5.926.674.100,Localización precisa,INCAA / SInCA,Privado comercial,2,370,,2018
18119030,18,18119,,Salas de cine,Corrientes,Paso de los Libres,Paso de los Libres,Cine Teatro Opera,Los 108 941,s/d,3230,3772,424404,imc@mplibres.gob.ar,https://www.facebook.com/pg/Cineoperacorrientes/about/?ref=page_internal,,-2.971.371.010,-5.708.556.010,Localización precisa,INCAA / SInCA,Privado comercial,1,200,,2018
30008090,30,30008,,Salas de cine,Entre Ríos,Colon,San José,Cine Urquiza,25 De mayo 1849,s/d,3283,343,4320151,nuevocineteatrorex@gmail.com,http://www.cineurquiza.com.ar,,-3.221.251.500,-5.821.790.100,Localización precisa,INCAA / SInCA,Privado comercial,1,250,,2018
30105060,30,30105,,Salas de cine,Entre Ríos,Victoria,Victoria,Cine Teatro Victoria,Alem 64,s/d,3153,343,6421005,culturamdv@gmail.com,https://www.cinesargentinos.com.ar/complejo/sala-municipal-cine-teatro-victoria/,,-3.262.022.470,-6.015.723.860,Localización precisa,INCAA / SInCA,Público municipal,1,299,si,2018
30015060,30,30015,,Salas de cine,Entre Ríos,Concordia,Concordia,Teatro Gran Odeon,Entre Rios 567,s/d,3200,345,4224758,fernandaaragon@fundacionodeon.com.ar,http://www.fundacionodeon.com.ar,,-3.139.815.100,-5.801.899.900,Localización precisa,INCAA / SInCA,Privado comercial,1,664,,2018
30098040,30,30098,,Salas de cine,Entre Ríos,Uruguay,Concepción del Uruguay,Cine Teatro San Martin,Estrada 820,s/d,3260,3442,426145,estudiocginepro@gmail.com,https://www.facebook.com/cinesanmartin/,,-3.248.000.000,-5.823.515.600,Localización precisa,INCAA / SInCA,Privado comercial,1,457,,2018
30008020,30,30008,,Salas de cine,Entre Ríos,Colon,Villa Elisa,Centro Cultural La Fragua,Hector De Elia 1489,s/d,3265,3447,481779,asociacioncivillafragua@gmail.com,https://www.facebook.com/pg/asociacioncivillafragua/about/?ref=page_internal,,-3.216.527.110,-5.840.008.700,Localización precisa,INCAA / SInCA,Público municipal,1,70,si,2018
30084160,30,30084,,Salas de cine,Entre Ríos,Parana,Paraná,Cine Rex,Monte Caseros 266,s/d,3100,343,4320151,nuevocinerex@gmail.com,https://www.cinerexparana.com/,,-3.173.557.900,-6.053.082.000,Localización precisa,INCAA / SInCA,Privado comercial,3,434,,2018
30113080,30,30113,,Salas de cine,Entre Ríos,Villaguay,Villaguay,Fundación Emilio Berisso,San Martin 540,s/d,3240,3455,414428,cineteatroberisso@gmail.com,https://www.facebook.com/pg/CineBerisso/about/?ref=page_internal,,-3.186.511.500,-5.902.743.300,Localización precisa,INCAA / SInCA,Privado comercial,1,350,,2018
34014020,34,34014,,Salas de cine,Formosa,Formosa,Formosa,Cine Teatro Italia,Av. 25 De Mayo 353,s/d,3600,3717,436447,cineteatroitalia@formosa.gov.ar,https://www.facebook.com/cine.italia/,,-2.618.299.644,-5.816.838.024,Localización precisa,INCAA / SInCA,Público provincial,1,565,si,2018
34014020,34,34014,,Salas de cine,Formosa,Formosa,Formosa,Avenida,Av. Juan Domingo Peron 757,s/d,3600,3704,420255,jimecaceres@hotmail.com,https://www.facebook.com/pg/Cines-Avenida-112830095434025/about/?ref=page_internal,,-2.616.949.700,-5.818.148.300,Localización precisa,INCAA / SInCA,Privado comercial,3,619,,2018
38042040,38,38042,,Salas de cine,Jujuy,Palpala,Palpala,Cine Teatro Altos Hornos Zapla,Av. Rio De La Plata 383,s/d,4612,388,4276689,claudio.caceres@imdpalpala.gob.ar,https://www.facebook.com/pg/CineAHZ/about/?ref=page_internal,,-2.425.759.260,-6.521.309.500,Localización precisa,INCAA / SInCA,Privado comercial,1,1100,si,2018
38021060,38,38021,,Salas de cine,Jujuy,Dr. Manuel Belgrano,San Salvador de Jujuy,Cine Teatro Alfa,Patricias Argentinas 360,s/d,4600,388,4230426,cinealfajujuy@hotmail.com,https://twitter.com/cineteatroalfa,,-2.418.449.400,-6.531.115.600,Localización precisa,INCAA / SInCA,Privado comercial,2,856,,2018
42105030,42,42105,,Salas de cine,La Pampa,Maraco,Gral. Pico,Espacio Incaa-Cine & Teatro Pico,Calle 17 957,s/d,6360,2302,421776,italianaxx@speedy.com.ar,http://www.picocine.com.ar/,,-3.566.053.020,-6.375.286.950,Localización precisa,INCAA / SInCA,Privado comercial,1,534,si,2018
42105030,42,42105,,Salas de cine,La Pampa,Maraco,Gral. Pico,Cine Gran Pampa,Calle 20 642,s/d,6360,2302,421776,italianaxx@speedy.com.ar,https://cines.com › Inicio › La Pampa › General Pico,,-3.565.898.200,-6.375.393.500,Localización precisa,INCAA / SInCA,Privado comercial,1,730,,2018
42021020,42,42021,,Salas de cine,La Pampa,Capital,Santa Rosa,Amadeus,Coronel Gil 31,s/d,6300,2954,458160,administracion@cinedonbosco3d.com.ar, www.cineamadeus.com.ar/,,-3.661.990.400,-6.428.990.200,Localización precisa,INCAA / SInCA,Privado comercial,1,223,,2018
42021020,42,42021,,Salas de cine,La Pampa,Capital,Santa Rosa,Espacio Incaa Santa Rosa,Quintana 172,s/d,6300,2954,772893,contablecultura.santarosa@hotmail.com,https://www.facebook.com/Espacio-INCAA-Santa-Rosa-715759378505317/,,-3.661.882.750,-6.429.339.990,Localización precisa,INCAA / SInCA,Público municipal,1,118,si,2018
46014010,46,46014,,Salas de cine,La Rioja,Capital,La Rioja,Cinemacenter,Av. Abel Bazan Y Bustos 710,s/d,5300,3804,461893,centerlarioja@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2.941.152.524,-6.685.814.976,Localización precisa,INCAA / SInCA,Privado comercial,4,769,,2018
46014010,46,46014,,Salas de cine,La Rioja,Capital,La Rioja,Espacio 73,Catamarca 73,s/d,5300,3804,468432,coord.mediosaudiovisuales@gmail.com,http://www.culturalarioja.gob.ar,,-2.941.285.200,-6.685.932.760,Localización precisa,INCAA / SInCA,Público nacional,1,128,si,2018
46014010,46,46014,,Salas de cine,La Rioja,Capital,La Rioja,Cinema,Pelagio Luna 960,s/d,5300,3804,463383,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/,,-2.941.279.900,-6.686.169.300,Localización precisa,INCAA / SInCA,Privado comercial,2,292,,2018
46014010,46,46014,,Salas de cine,La Rioja,Capital,La Rioja,Cinema,San Martin 62,s/d,5300,3804,463386,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/,,-2.941.478.000,-6.685.770.100,Localización precisa,INCAA / SInCA,Privado comercial,1,72,,2018
54091080,54,54091,,Salas de cine,Misiones,Obera,Oberá,Cine Casinos,Av. Sarmiento 1044,s/d,3360,3755,425011,cinesobera@arnetbiz.com.ar,www.cinescasinoobera.com.ar/,,-2.748.614.000,-5.512.317.200,Localización precisa,INCAA / SInCA,Privado comercial,2,292,,2018
54028030,54,54028,,Salas de cine,Misiones,Capital,Posadas,Sunstar,Bolivar 1979,s/d,3300,376,438666,gerente.posadas@sunstar.com,http://www.cinesunstar.com/,,-2.736.677.500,-5.589.562.600,Localización precisa,INCAA / SInCA,Privado comercial,4,559,,2018
54091080,54,54091,,Salas de cine,Misiones,Obera,Oberá,Cine Teatro Obera,San Martin 1069,s/d,3360,3755,408625,cineteatro.obera@outlook.com,https://www.facebook.com/CineTeatroObera/,,-2.748.820.800,-5.512.230.500,Localización precisa,INCAA / SInCA,Público municipal,1,220,si,2018
58035070,58,58035,,Salas de cine,Neuquén,Confluencia,Neuquén,Village,Av. Antartida Argentina 1111,s/d,8300,2994,471500,village.neuquen@village.com.ar,https://www.villagecines.com/,,-3.894.753.500,-6.808.014.100,Localización precisa,INCAA / SInCA,Privado comercial,7,1894,,2018
58035070,58,58035,,Salas de cine,Neuquén,Confluencia,Neuquén,Cine Teatro Español,Av. Argentina 245,s/d,8300,2994,429747,clau_diaz@hotmail.com,https://www.facebook.com/cineteatronqn/,,-3.895.250.200,-6.805.886.850,Localización precisa,INCAA / SInCA,Privado comercial,1,639,si,2018
58035040,58,58035,,Salas de cine,Neuquén,Confluencia,Cutral-Co,Cine Rex Cutral-Co,Av. Del Trabajo 676,s/d,8200,s/d,s/d,iturbemariano@gmail.com,http://www.cinerexcutralco.com.ar/index.php,,-3.893.714.500,-6.922.888.600,Localización precisa,INCAA / SInCA,Privado comercial,1,290,,2018
58056010,58,58056,,Salas de cine,Neuquén,Lacar,San Martín de los Andes,Centro Cultural Costema,Gral. Roca 1154,s/d,8370,2972,428399,cccotesma@cotesma.com.ar,http://centrocultural.cotesma.com.ar/agenda-de-cine,,-4.015.738.300,-7.135.183.720,Localización precisa,INCAA / SInCA,Privado comercial,2,398,si,2018
58112040,58,58112,,Salas de cine,Neuquén,Zapala,Zapala,Cine Teatro Municipal Amado Sapag,San Martin 281,s/d,8340,2942,421664,jjjeldrez@hotmail.com,https://www.facebook.com/Cine-Teatro-de-Zapala-1558752601048983/,,-3.890.354.560,-7.006.491.820,Localización precisa,INCAA / SInCA,Público municipal,1,738,si,2018
62042560,62,62042,,Salas de cine,Río Negro,General Roca,Villa Regina,Cine Teatro Circulo Italiano,Av. Rivadavia 117,s/d,8336,298,4588456,espacioincaavillaregina@gmail.com,http://cineteatrocirculo.com.ar/tags/cine,,-3.909.326.355,-6.708.392.556,Localización precisa,INCAA / SInCA,Privado comercial,1,661,si,2018
62042450,62,62042,,Salas de cine,Río Negro,General Roca,Gral. Roca,Cine Rex,Av. Roca 1585,s/d,8332,343,5122308,iturbemariano@gmail.com,http://cinerexroca.com.ar,,-3.902.737.700,-6.757.543.600,Localización precisa,INCAA / SInCA,Privado comercial,2,300,,2018
62042390,62,62042,,Salas de cine,Río Negro,General Roca,Cinco Saltos,Cine Teatro Español,Av. Roca 326,s/d,8303,299,4980122,asoc.esp.cinco.saltos@gmial.com,https://www.facebook.com/pg/Cine-Teatro-Espa%C3%B1ol-Cinco-Saltos-1534103586894165/about/?ref=page_internal,,-3.882.830.100,-6.806.446.700,Localización precisa,INCAA / SInCA,Privado comercial,1,320,si,2018
62007090,62,62007,,Salas de cine,Río Negro,Adolfo Alsina,Viedma,Cine Gama,Gallardo 160,s/d,8500,2920,432286,cinegama@yahoo.com.ar,https://cines.com/argentina/cine-gama/,,-4.081.081.200,-6.298.849.700,Localización precisa,INCAA / SInCA,Privado comercial,1,350,,2018
62021060,62,62021,,Salas de cine,Río Negro,Bariloche,Bariloche,Sunstar,Onelli 447,s/d,8400,2944,433128,gerente.bariloche@cinesunstar.com,http://www.cinesunstar.com/,,-4.113.347.200,-7.131.027.800,Localización precisa,INCAA / SInCA,Privado comercial,3,461,,2018
62021060,62,62021,,Salas de cine,Río Negro,Bariloche,Bariloche,La Llave,Sobral Y Onelli,s/d,8400,294,421599,comunicacionculturalmscb@bariloche.com.ar,https://www.facebook.com/escuelalallavebariloche/,,-4.115.479.963,-7.130.052.075,Localización precisa,INCAA / SInCA,Público municipal,1,100,si,2018
62014040,62,62014,,Salas de cine,Río Negro,Avellaneda,Choele Choel,Sala Municipal Espacio Incaa,Tello Y Av. San Martin,s/d,8360,298,4555525,secdesarrollosocialchoele@hotmail.com,https://www.facebook.com/EspacioIncaaKm1000ChoeleChoel/,,-3.928.799.100,-6.566.539.800,Localización precisa,INCAA / SInCA,Público municipal,1,282,si,2018
66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Cine Rex,Av. San Martin 1170,s/d,4400,387,4889200,zingone@arnet.com.ar,https://www.facebook.com/pg/Cine-Rex-Salta-1989566067982401/about/?ref=page_internal,,-2.479.296.700,-6.541.917.500,Localización precisa,INCAA / SInCA,Privado comercial,2,353,,2018
66056220,66,66056,,Salas de cine,Salta,Grl. Jose de San Martin,Tartagal,Open Plaza,Guemes 421,s/d,4560,s/d,s/d,adrianc@ferreterianorte.com.ar, http://www.cineopenplaza.com.ar,,-2.251.593.300,-6.380.501.800,Localización precisa,INCAA / SInCA,Privado comercial,1,220,,2018
66126070,66,66126,,Salas de cine,Salta,Oran,Orán,Cine Municipal De La Cultura Oran,Hipolito Yrigoyen 137,s/d,4530,3878,421274,culturaoran@gmail.com,https://www.facebook.com/Cine-Municipal-Espacios-Incaa-Oran-473261419496188/,,-2.313.513.220,-6.432.221.540,Localización precisa,INCAA / SInCA,Público municipal,1,280,si,2018
66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Hogar Escuela,Pje. Chiclana Esq. H. Irigoyen S/N,s/d,4400,387,4228669,ministro@cultura.salta.gov.ar,http://www.culturasalta.gov.ar/contenidos/espacio-incaa-hogar-escuela/50,,-2.479.591.900,-6.539.997.000,Localización precisa,INCAA / SInCA,Público provincial,1,354,si,2018
66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Opera,Urquiza 560,s/d,4400,387,4213297,zingone@arnet.com.ar,https://www.facebook.com/pages/category/Drive-In-Movie-Theater/Cine-Opera-Salta-155718934490642/,,-2.479.240.300,-6.541.075.800,Localización precisa,INCAA / SInCA,Privado comercial,2,682,,2018
66028050,66,66028,,Salas de cine,Salta,Capital,Salta,Hoyts,Virrey Toledo 702,s/d,4400,s/d,57771000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/,,-2.478.147.200,-6.540.354.700,Localización precisa,INCAA / SInCA,Privado comercial,8,1362,,2018
70028010,70,70028,,Salas de cine,San Juan,Capital,San Juan,Cinemacenter,Av. Circunvalacion Y Escalabrini Ortiz,s/d,5400,264,4212121,centersanjuan@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-3.152.259.300,-6.854.260.400,Localización precisa,INCAA / SInCA,Privado comercial,8,1803,,2018
70028010,70,70028,,Salas de cine,San Juan,Capital,San Juan,Play Cinema,Av. Libertador 1826 (Oeste),s/d,5400,264,4309000,admnistracion@playcinema.net,http://www.playcinema.net/,,-3.153.176.600,-6.855.143.200,Localización precisa,INCAA / SInCA,Privado comercial,6,1071,,2018
70028010,70,70028,,Salas de cine,San Juan,Capital,San Juan,Cine Teatro Municipal San Juan,B. Mitre 41 Este,s/d,5400,264,4213295,cineteatromunicipalsj@gmail.com,http://www.municipiosanjuan.gob.ar/?q=content/cartelera-del-cine-teatro-municipal,,-3.153.776.800,-6.852.529.700,Localización precisa,INCAA / SInCA,Público municipal,1,416,si,2018
70028010,70,70028,,Salas de cine,San Juan,Capital,San Juan,Fundación Iopps,Pedro Echague Oeste 475,s/d,5400,264,4219787,iopps@speedy.com.ar,https://www.facebook.com/ioppscultura/,,-3.153.005.000,-6.851.990.700,Localización precisa,INCAA / SInCA,Privado comercial,1,180,,2018
70028010,70,70028,,Salas de cine,San Juan,Capital,San Juan,UPCN - San Juan,Sarmiento 461 Sur,s/d,5400,264,4214611,adolfomallea@yahoo.com.ar,http://www.upcndigital.org/san-juan,,-3.152.639.000,-6.853.364.400,Localización precisa,INCAA / SInCA,Privado independiente,1,298,si,2018
74056150,74,74056,,Salas de cine,San Luis,La Capital,San Luis,Cinemacenter,J. A. Roca 260,s/d,5700,2664,441001,centerluis@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-3.330.922.400,-6.632.764.700,Localización precisa,INCAA / SInCA,Privado comercial,7,1951,,2018
74035070,74,74035,,Salas de cine,San Luis,General Pedernera,Villa Mercedes,Fénix,Pueyrredon 1651,s/d,5730,2657,425513,hm@cinesdigitales.com,http://www.cinesfenix.com,,-3.366.301.900,-6.546.434.400,Localización precisa,INCAA / SInCA,Privado comercial,3,475,,2018
78014060,78,78014,,Salas de cine,Santa Cruz,Deseado,Las Heras,Osvaldo Jorge Bayer,13 De Diciembre Y Malvinas S/N,s/d,9017,297,4974923,centroculturallasheras@gmail.com,https://www.facebook.com/pg/centroculturallasheras/about/?ref=page_internal,,-4.653.858.900,-6.894.415.300,Localización precisa,INCAA / SInCA,Privado comercial,1,196,,2018
78042010,78,78042,,Salas de cine,Santa Cruz,Magallanes,Puerto San Julian,Cine Teatro Talia,25 De mayo 1188,s/d,9310,2962,415893,cineteatrotalia1930@gmail.com,https://www.facebook.com/pg/cineteatrotalia/about/?ref=page_internal,,-4.931.522.700,-6.772.210.300,Localización precisa,INCAA / SInCA,Privado comercial,1,340,si,2018
78014010,78,78014,,Salas de cine,Santa Cruz,Deseado,Caleta Olivia,Asociación Amigos Del Arte Mechenien,J. Newbery Esq. Deocarets S/N,Piso 1,9011,297,4851770,mechenien_asociacion@hotmail.com,https://www.mechenien.org.ar/,,-4.643.750.600,-6.752.675.000,Localización precisa,INCAA / SInCA,Privado comercial,1,350,si,2018
86035090,86,86035,,Salas de cine,Santiago del Estero,Banda,La Banda,Cinemacenter,Aut. Juan D. Peron S/N Parque Industrial,s/d,4200,385,4373184,cinessantiago@cinemacenter.com.ar,http://www.cinemacenter.com.ar/,,-2.776.248.700,-6.424.480.400,Localización precisa,INCAA / SInCA,Privado comercial,3,822,,2018
86035090,86,86035,,Salas de cine,Santiago del Estero,Banda,La Banda,Cine Teatro Municipal Renzi,Av. Besares 151,s/d,4300,385,4279188,Alejandro_jozami@hotmail.com,https://www.facebook.com/CineRenzi/,,-2.773.175.140,-6.424.261.230,Localización precisa,INCAA / SInCA,Público municipal,1,152,si,2018
86049110,86,86049,,Salas de cine,Santiago del Estero,Capital,Santiago del Estero,Sunstar,Av. Rivadavia Y Ejercito Argentino,s/d,4200,385,4213666,gerente.santiago@cinesunstar.com,http://www.cinesunstar.com/,,-2.778.442.000,-6.426.728.100,Localización precisa,INCAA / SInCA,Privado comercial,5,1585,,2018
94007010,94,94007,,Salas de cine,Tierra del Fuego,Rio Grande,Río Grande,El Cine,9 De julio 0838,s/d,9420,2964,422648,roviola@gmail.com,http://www.cinemas4riogrande.com.ar,,-5.379.008.100,-6.769.795.900,Localización precisa,INCAA / SInCA,Privado comercial,2,584,,2018
94014020,94,94014,,Salas de cine,Tierra del Fuego,Ushuaia,Ushuaia,Sunstar,Av. Perito Moreno 1460,s/d,9410,2901,442702,gerente.ushuaia@cinesunstar.com,http://www.cinesunstar.com/,,-5.479.994.270,-6.828.011.510,Localización precisa,INCAA / SInCA,Privado comercial,3,561,,2018
94014020,94,94014,,Salas de cine,Tierra del Fuego,Ushuaia,Ushuaia,Cine Teatro Pakewaia,Yaganes Y Gob Paz (Base Naval),s/d,9410,2901,424566,cine@gamaproducciones.com.ar,www.cinepackewaia.com.ar/,,-5.480.191.200,-6.830.295.100,Localización precisa,INCAA / SInCA,Privado comercial,1,300,,2018
90119030,90,90119,,Salas de cine,Tucumán,Yerba Buena,Yerba Buena,Cines Del Solar,Av. Aconquija 1336,s/d,4107,381,4253050,cinesdelsolar@hotmail.com,http://solardelcerro.com,,-2.681.417.900,-6.528.893.700,Localización precisa,INCAA / SInCA,Privado comercial,5,750,,2018
